CUSTOMER,FULLNAME,TAXPAYER
106006,"შპს ""ოქროს საწმისი XXI საუკუნე""",999999137
106236,შპს ჯთსერვისი,999999367
106224,"შპს ""მრავალპროფილური კლინიკა კონსილიუმ მედულა""",999999355
106032,"შპს ""თელავის რაიონული სააავადმყოფო""",999999163
106017,"შპს""ღია გული-საუნივერსიტეტო ჰოსპიტალი""",999999148
106079,შპს სოს ასისტანსი,999999210
106181,თსსუ ალ.ალადაშვილის სახელობის საუნივერსიტეტო კლინიკა,999999312
106022,"შპს""ქ.თბილისის ონკოლოგიური დისპანსერი""",999999153
106226,"შპს ""სმაილ დენტი""",999999357
106196,"თბილისის სახელმწიფო სამედიცინო უნივერსიტეტის ""პირველი საუნივერსიტეტო კლინიკა""",999999327
105937,"შ.პ.ს.""ალერგიისა და იმუნოლოგიის ცენტრი""",999999068
106001,მ.შარაშიძის სამედიცინო ცენტრი,999999132
106250,"სს""სამედიცინო კორპორაცია ევექსი""-ხობის ჰოსპიტალი",999999381
105934,"ი.მ ""ზაზა ხატიაშვილი"" სტომატოლოგიური კლინიკა",999999065
106039,"შპს ""იმერეთის რეგიონალური კლინიკური საავადმყოფო""",999999170
106243,"შპს ""ინტერმედი""",999999374
106002,"შპს ""ლითოტრიფსია""",999999133
105888,"ინდ.მეწარმე თეა გზირიშვილი სტომატოლოგიური კლინიკა ""ნიუ–დენტი""",999999019
105995,"შპს ""გულისა და სისხლძარღვთა კლინიკა""{",999999126
105876,შ.პ.ს დავით ტატიშვილის სამედიცინო ცენტრი სხვა,999999007
105932,"შ.პ.ს.""მეზღვაურთა სამედიცინო ცენტრი""",999999063
106116,"შპს ""ჩიჩუების სამედიცინო ცენტრი - მზერა""",999999247
105920,"შ.პ.ს.""სისხლძარღვთა და გულის დაავადებათა ცენტრი""",999999051
105948,"შპს""კანისა და ვენსნეულებათა ს/კ ეროვნული ცენტრი""""",999999079
106145,"შპს ""უნიმედიმ კახეთი""თბილისის რეფერალური ჰოსპიტალი",999999276
105965,"შპს ""ქალთა კონსულტაცია – მომავალი""",999999096
105915,"შ.პ.ს ""პედიატრი""",999999046
105941,"შ.პ.ს.""კარდიოსერვისი""",999999072
106160,"შპს ""სტომატოლოგიური ცენტრი""",999999291
106139,"შპს ""მედალფა""ლანჩხუთის კლინიკა",999999270
