ID,NAME_A,NAME_E,NAME_R,AVAILABLE,PID,EXTCOD
56646,სწრაფად პროგრესირებადი ნეფრიტული სინდრომი დაუზუსტებელი ცვლილებით,"Rapidly progressive nephritic syndrome, unspecified",Быстро прогрессирующий нефритический синдром -неуточненное изменение,1,56636,N01.9
56647,მორეციდივე და მდგრადი ჰემატურია,Recurrent and persistent haematuria,Рецидивирующая и устойчивая гематурия,1,50563,N02
56648,მორეციდივე და მდგრადი ჰემატურია გორგლების უმნიშვნელო დაზიანებით,"Recurrent and persistent haematuria, minor glomerular abnormality",Рецидивирующая и устойчивая гематурия -незначительные гломерулярные нарушения,1,56647,N02.0
56649,მორეციდივე და მდგრადი ჰემატურია გორგლების კეროვანი და სეგმენტური დაზიანებებით,"Recurrent and persistent haematuria, focal and segmental glomerular lesions",Рецидивирующая и устойчивая гематурия -очаговые и сегментарные гломерулярные повреждения,1,56647,N02.1
56650,მორეციდივე და მდგრადი ჰემატურია დიფუზური მემბრანული გლომერულნეფრიტით,"Recurrent and persistent haematuria, diffuse membranous glomerulonephritis",Рецидивирующая и устойчивая гематурия -диффузный мембранозный гломерулонефрит,1,56647,N02.2
56651,მორეციდივე და მდგრადი ჰემატურია დიფუზური მეზანგიურ-პროლიფერაციული გლომერულნეფრიტით,"Recurrent and persistent haematuria, diffuse mesangial proliferative glomerulonephritis",Рецидивирующая и устойчивая гематурия -диффузный мезангиальный пролиферативный гломерулонефрит,1,56647,N02.3
56652,მორეციდივე და მდგრადი ჰემატურია დიფუზური ენდოკაპილარული პროლიფერაციული გლომერულონეფრიტით,"Recurrent and persistent haematuria, diffuse endocapillary proliferative glomerulonephritis",Рецидивирующая и устойчивая гематурия -диффузный эндокапилярный пролиферативный гломерулонефрит,1,56647,N02.4
56653,მორეციდივე და მდგრადი ჰემატურია დიფუზური მეზანგიოკაპილარული გლომერულონეფრიტით,"Recurrent and persistent haematuria, diffuse mesangiocapillary glomerulonephritis",Рецидивирующая и устойчивая гематурия -диффузный мезангиокапилярный гломерулонефрит,1,56647,N02.5
56654,მორეციდივე და მდგრადი ჰემატურია მკვრივი დეპოზიტის ავადმყოფობით,"Recurrent and persistent haematuria, dense deposit disease",Рецидивирующая и устойчивая гематурия -болезнь плотного осадка,1,56647,N02.6
56655,მორეციდივე და მდგრადი ჰემატურია დიფუზური ნამგლისებურუჯრედული გლომერულონეფრიტით,"Recurrent and persistent haematuria, diffuse crescentic glomerulonephritis",Рецидивирующая и устойчивая гематурия -диффузный серповидный гломерулонефрит,1,56647,N02.7
56656,მორეციდივე და მდგრადი ჰემატურია სხვა ცვლილებით,"Recurrent and persistent haematuria, other",Рецидивирующая и устойчивая гематурия -другие изменения,1,56647,N02.8
56657,მორეციდივე და მდგრადი ჰემატურია დაუზუსტებელი ცვლილებით,"Recurrent and persistent haematuria, unspecified",Рецидивирующая и устойчивая гематурия -неуточненное изменение,1,56647,N02.9
56658,ქრონიკული ნეფრიტული სინდრომი,Chronic nephritic syndrome,Хронический нефритический синдром,1,50563,N03
56659,ქრონიკული ნეფრიტული სინდრომი გორგლების უმნიშვნელო დაზიანებით,"Chronic nephritic syndrome, minor glomerular abnormality",Хронический нефритический синдром -незначительные гломерулярные нарушения,1,56658,N03.0
56660,ქრონიკული ნეფრიტული სინდრომი გორგლების კეროვანი და სეგმენტური დაზიანებებით,"Chronic nephritic syndrome, focal and segmental glomerular lesions",Хронический нефритический синдром -очаговые и сегментарные гломерулярные повреждения,1,56658,N03.1
56661,ქრონიკული ნეფრიტული სინდრომი დიფუზური მემბრანული გლომერულნეფრიტით,"Chronic nephritic syndrome, diffuse membranous glomerulonephritis",Хронический нефритический синдром -диффузный мембранозный гломерулонефрит,1,56658,N03.2
56662,ქრონიკული ნეფრიტული სინდრომი დიფუზური მეზანგიურ-პროლიფერაციული გლომერულნეფრიტით,"Chronic nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",Хронический нефритический синдром -диффузный мезангиальный пролиферативный гломерулонефрит,1,56658,N03.3
56663,ქრონიკული ნეფრიტული სინდრომი დიფუზური ენდოკაპილარული პროლიფერაციული გლომერულონეფრიტით,"Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",Хронический нефритический синдром -диффузный эндокапилярный пролиферативный гломерулонефрит,1,56658,N03.4
56664,ქრონიკული ნეფრიტული სინდრომი დიფუზური მეზანგიოკაპილარული გლომერულონეფრიტით,"Chronic nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",Хронический нефритический синдром -диффузный мезангиокапилярный гломерулонефрит,1,56658,N03.5
56665,ქრონიკული ნეფრიტული სინდრომი მკვრივი დეპოზიტის ავადმყოფობით,"Chronic nephritic syndrome, dense deposit disease",Хронический нефритический синдром -болезнь плотного осадка,1,56658,N03.6
56666,ქრონიკული ნეფრიტული სინდრომი დიფუზური ნამგლისებურუჯრედული გლომერულონეფრიტით,"Chronic nephritic syndrome, diffuse crescentic glomerulonephritis",Хронический нефритический синдром -диффузный серповидный гломерулонефрит,1,56658,N03.7
56667,ქრონიკული ნეფრიტული სინდრომი სხვა ცვლილებით,"Chronic nephritic syndrome, other",Хронический нефритический синдром -другие изменения,1,56658,N03.8
56668,ქრონიკული ნეფრიტული სინდრომი დაუზუსტებელი ცვლილებით,"Chronic nephritic syndrome, unspecified",Хронический нефритический синдром -неуточненное изменение,1,56658,N03.9
56669,ნეფროზული სინდრომი,Nephrotic syndrome,Нефротический синдром,1,50563,N04
56670,ნეფროზული სინდრომი გორგლების უმნიშვნელო დაზიანებით,"Nephrotic syndrome, minor glomerular abnormality",Нефротический синдром -незначительные гломерулярные нарушения,1,56669,N04.0
56671,ნეფროზული სინდრომი გორგლების კეროვანი და სეგმენტური დაზიანებებით,"Nephrotic syndrome, focal and segmental glomerular lesions",Нефротический синдром -очаговые и сегментарные гломерулярные повреждения,1,56669,N04.1
56672,ნეფროზული სინდრომი დიფუზური მემბრანული გლომერულნეფრიტით,"Nephrotic syndrome, diffuse membranous glomerulonephritis",Нефротический синдром -диффузный мембранозный гломерулонефрит,1,56669,N04.2
56673,ნეფროზული სინდრომი დიფუზური მეზანგიურ-პროლიფერაციული გლომერულნეფრიტით,"Nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis",Нефротический синдром -диффузный мезангиальный пролиферативный гломерулонефрит,1,56669,N04.3
