ID,NAME_A,NAME_E,NAME_R,AVAILABLE,PID,EXTCOD
57188,"სხვა და დაუზუსტებელი არშემდგარი აბორტი, გართულებული სასქესო სისტემის და მენჯის ღრუს ინფექციით","Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection","Другие и неуточненные неудачные попытки аборта, осложнившиеся инфекцией половых путей и тазовых органов",1,57182,O07.5
57189,"სხვა და დაუზუსტებელი არშემდგარი აბორტი, გართულებული გახანგრძლივებული ან მასიური სისხლდენით","Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage","Другие и неуточненные неудачные попытки аборта, осложнившиеся длительным или чрезмерным кровотечением",1,57182,O07.6
57190,სხვა და დაუზუსტებელი არშემდგარი აბორტი გართულებული ემბოლიით,"Other and unspecified failed attempted abortion, complicated by embolism","Другие и неуточненные попытки аборта, осложнившиеся эмболией",1,57182,O07.7
57191,"სხვა და დაუზუსტებელი არშემდგარი აბორტი, სხვა და დაუზუსტებელი გართულებებით","Other and unspecified failed attempted abortion, with other and unspecified complications",Другие и неуточненные неудачные попытки аборта с другими и неуточненными осложнениями,1,57182,O07.8
57192,"სხვა და დაუზუსტებელი არშემდგარი აბორტი, გართულების გარეშე","Other and unspecified failed attempted abortion, without complication",Другие и неуточненные неудачные попытки аборта без осложнений,1,57182,O07.9
57193,"აბორტის, საშვილოსნოს გარეშე ორსულობისა და ბუშტნამქერის გართულებები",Complications following abortion and ectopic and molar pregnancy,"Осложнения, вызванные абортом, внематочной и молярной беременностью",1,50574,O08
57194,"გენიტალური სისტემის და მენჯის ღრუს ინფექციები, რომელიც ახლავს აბორტს, საშვილოსნოს გარეშე და ბუშტნამქერს",Genital tract and pelvic infection following abortion and ectopic and molar pregnancy,"Инфекция половых путей и тазовых органов, вызванная абортом, внематочной и молярной беременностью",1,57193,O08.0
57195,"გახანგრძლივებული ან ჭარბი სისხლდენა, რომელიც მოსდევს აბორტს, საშვილოსნოს გარეშე ორსულობას და ბუშტნამქერს",Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy,"Длительное или массивное кровотечение, вызванное абортом, внематочной и молярной беременностью",1,57193,O08.1
57196,"ემბოლია, რომელიც მოსდევს აბორტს, საშვილოსნოს გარეშე ორსულობას და ბუშტნამქერს",Embolism following abortion and ectopic and molar pregnancy,"Эмболия, вызванная абортом, внематочной и молярной беременностью",1,57193,O08.2
57197,"შოკი, რომელიც მოსდევს აბორტს, საშვილოსნოს გარეშე ორსულობას და ბუშტნამქერს",Shock following abortion and ectopic and molar pregnancy,"Шок, вызванный абортом, внематочной и молярной беременностью",1,57193,O08.3
57198,"თირკმლის უკმარისობა, განვითარებული აბორტის, საშვილოსნოს გარეშე ორსულობის და ბუშტნამქერის შემდეგ",Renal failure following abortion and ectopic and molar pregnancy,"Почечная недостаточность, вызванная абортом, внематочной и молярной беременностью",1,57193,O08.4
57199,"მენჯის ღრუს ორგანოების და ქსოვილების დაზიანება, აბორტის, საშვილოსნოს გარეშე ორსულობის და ბუშტნამქერის შემდეგ",Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy,"Повреждения тазовых органов и тканей, вызванные абортом, внематочной и молярной беременностью",1,57193,O08.6
57200,"სხვა ვენური გართულებები, რომლებიც მოსდევს აბორტის, საშვილოსნოს გარეშე ორსულობას და ბუშტნამქერს",Other venous complications following abortion and ectopic and molar pregnancy,"Другие венозные осложнения, вызванные абортом, внематочной и молярной беременностью",1,57193,O08.7
57201,"აბორტის, საშვილოსნოს გარეშე ორსულობის და ბუშტნამქერის სხვა გართულებები",Other complications following abortion and ectopic and molar pregnancy,"Другие осложнения, вызванные абортом, внематочной и молярной беременностью",1,57193,O08.8
57202,"აბორტის გართულებები, დაუზუსტებელი","Complication following abortion and ectopic and molar pregnancy, unspecified","Осложнение, вызванное абортом, внематочной и молярной беременностью, неуточненное",1,57193,O08.9
57203,"ადრე არსებული ჰიპერტენზიით გართულებული ორსულობა, მშობიარობა და ლოგინობის ხანა","Pre-existing hypertension complicating pregnancy, childbirth and the puerperium","Существовавшая ранее гипертензия, осложняющая беременность, роды и послеродовой период",1,50575,O10
57204,"ადრე არსებული ესენციური ჰიპერტენზიით გართულებული ორსულობა, მშობიარობა და ლოგინობის ხანა","Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium","Существовавшая ранее эссенциальная гипертензия, осложняющая беременность, роды и послеродовой период",1,57203,O10.0
57205,"ადრე არსებული კარდიოვასკულური ჰიპერტენზით გართულებული ორსულობა, მშობიარობა და ლოგინობის ხანა","Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium","Существовавшая ранее кардиоваскулярная гипертензия, осложняющая беременность, роды и послеродовой период",1,57203,O10.1
57206,"ადრე არსებული თირკმლისმიერი ჰიპერტენზიით გართულებული ორსულობა, მშობიარობა და ლოგინობის ხანა","Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium","Существовавшая ранее почечная гипертензия, осложняющая беременность, роды и послеродовой период",1,57203,O10.2
57207,"ადრე არსებული კარდიოვასკულური და თირკმლისმიერი ჰიპერტენზიით გართულებული ორსულობა, მშობიარობა და ლოგინობის ხანა","Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium","Существовавшая ранее кардиоваскулярная и почечная гипертензия, осложняющая беременность, роды и послеродовой период",1,57203,O10.3
57208,"ადრე არსებული მეორადი ჰიპერტენზიით გართულებული ორსულობა, მშობიარობა და ლოგინობის ხანა","Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium","Существовавшая ранее вторичная гипертензия, осложняющая беременность, роды и послеродовой период",1,57203,O10.4
57209,"ადრე არსებული ჰიპერტენზიით გართულებული ორსულობა, მშობიარობა და ლოგინობის ხანა, დაუზუსტებელი","Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium","Существовавшая ранее гипертензия, осложняющая беременность, роды и послеродовой период, неуточненная",1,57203,O10.9
57210,ადრე არსებული ჰიპერტენზია თანდართული პროტეინურიით,Pre-eclampsia superimposed on chronic hypertension,Существовавшая ранее гипертензия с присоединившейся протеинурией,1,50575,O11
57211,გესტაციური [ორსულობით გამოწვეული] შეშუპება და პროტეინურია ჰიპერტენზიის გარეშე,Gestational [pregnancy-induced] oedema and proteinuria without hypertension,Вызванные беременностью отеки и протеинурия без гипертензии,1,50575,O12
57212,ორსულთა შეშუპება,Gestational oedema,Вызванные беременностью отеки,1,57211,O12.0
57213,ორსულთა პროტეინურია,Gestational proteinuria,Вызванная беременностью протеинурия,1,57211,O12.1
57214,ორსულთა შეშუპება პროტეინურიით,Gestational oedema with proteinuria,Вызванные беременностью отеки с протеинурией,1,57211,O12.2
57215,გესტაციური [ორსულობით გამოწვეული] ჰიპერტენზია მნიშვნელოვანი პროტეინურიის გარეშე,Gestational [pregnancy-induced] hypertension,Вызванная беременностью гипертензия без значительной протеинурии,1,50575,O13
57216,გესტაციური [ორსულობით გამოწვეული] ჰიპერტენზია მნიშვნელოვანი პროტეინურიით,Pre-eclampsia,Вызванная беременностью гипертензия со значительной протеинурией,1,50575,O14
57217,საშუალო სიმძიმის პრეეკლამპსია,Mild to moderate pre-eclampsia,Преэклампсия нефропатия  средней тяжести,1,57216,O14.0
57218,მძიმე პრეეკლამპსია,Severe pre-eclampsia,Тяжелая преэклампсия,1,57216,O14.1
57219,HELLP სინდრომი,HELLP syndrome,,1,57216,O14.2
57220,"პრეეკლამპსია (ნეფროპათია), დაუზუსტებელი","Pre-eclampsia, unspecified",Преэклампсия нефропатия  неуточненная,1,57216,O14.9
57221,ეკლამპსია,Eclampsia,Эклампсия,1,50575,O15
57222,ეკლამპსია ორსულობის დროს,Eclampsia in pregnancy,Эклампсия во время беременности,1,57221,O15.0
57223,ეკლამპსია მშობიარობის დროს,Eclampsia in labour,Эклампсия в родах,1,57221,O15.1
57224,ეკლამპსია ლოგინობის ხანაში,Eclampsia in the puerperium,Эклампсия в послеродовом периоде,1,57221,O15.2
57225,"ეკლამპსია, დაუზუსტებელ პერიოდში","Eclampsia, unspecified as to time period",Эклампсия неуточненная по срокам,1,57221,O15.9
57226,"დედის ჰიპერტენზია, დაუზუსტებელი",Unspecified maternal hypertension,Гипертензия у матери неуточненная,1,50575,O16
57227,სისხლდენა ორსულობის ადრეულ პერიოდში,Haemorrhage in early pregnancy,Кровотечение в ранние сроки беременности,1,50576,O20
57228,მოსალოდნელი აბორტი,Threatened abortion,Угрожающий аборт,1,57227,O20.0
57229,სხვა სისხლდენები ორსულობის ადრეულ პერიოდში,Other haemorrhage in early pregnancy,Другие кровотечения в ранние сроки беременности,1,57227,O20.8
57230,"სისხლდენა ორსულობის ადრეულ პერიოდში, დაუზუსტებელი","Haemorrhage in early pregnancy, unspecified",Кровотечение в ранние сроки беременности неуточненное,1,57227,O20.9
57231,ჭარბი პირღებინება ორსულობის პერიოდში,Excessive vomiting in pregnancy,Чрезмерная рвота беременных,1,50576,O21
57232,მსუბუქი ან ზომიერი პირღებინება ორსულობის პერიოდში,Mild hyperemesis gravidarum,Рвота беременных легкая или умеренная,1,57231,O21.0
57233,პირღებინება ორსულობის პერიოდში მეტაბოლური დარღვევებით,Hyperemesis gravidarum with metabolic disturbance,Чрезмерная или тяжелая рвота беременных с нарушениями обмена веществ,1,57231,O21.1
57234,გვიანი პირღებინება ორსულობის პერიოდში,Late vomiting of pregnancy,Поздняя рвота беременных,1,57231,O21.2
57235,"სხვა პირღებინება, როგორც ორსულობის გართულება",Other vomiting complicating pregnancy,"Другие формы рвоты, осложняющей беременность",1,57231,O21.8
57236,"ორსულობის პერიოდის პირღებინება, დაუზუსტებელი","Vomiting of pregnancy, unspecified",Рвота беременных неуточненная,1,57231,O21.9
57237,ვენური გართულებები ორსულობის პერიოდში,Venous complications and haemorrhoids in pregnancy,Венозные осложнения во время беременности,1,50576,O22
57238,ქვემო კიდურის ვენების ვარიკოზული გაგანიერება ორსულობის პერიოდში,Varicose veins of lower extremity in pregnancy,Варикозное расширение вен нижних конечностей во время беременности,1,57237,O22.0
57239,გენიტალიური ვარიკოზი ორსულობის პერიოდში,Genital varices in pregnancy,Варикозное расширение вен половых органов во время беременности,1,57237,O22.1
57240,ზედაპირული თრომბოფლებიტი ორსულობის პერიოდში,Superficial thrombophlebitis in pregnancy,Поверхностный тромбофлебит во время беременности,1,57237,O22.2
57241,ღრმა ვენების ფლებოთრომბოზი ორსულობის პერიოდში,Deep phlebothrombosis in pregnancy,Глубокий тромбофлебит во время беременности,1,57237,O22.3
57242,ჰემოროი ორსულობის პერიოდში,Haemorrhoids in pregnancy,Геморрой во время беременности,1,57237,O22.4
57243,ტვინის ვენების თრომბოზი ორსულობის პერიოდში,Cerebral venous thrombosis in pregnancy,Тромбоз церебральных вен во время беременности,1,57237,O22.5
57244,სხვა ვენური გართულებები ორსულობის პერიოდში,Other venous complications in pregnancy,Другие венозные осложнения во время беременности,1,57237,O22.8
57245,"ვენური გართულებები ორსულობის პერიოდში, დაუზუსტებელი","Venous complication in pregnancy, unspecified",Венозное осложнение во время беременности неуточненное,1,57237,O22.9
57246,შარდ-სასქესო სისტემის ინფექციები ორსულობის პერიოდში,Infections of genitourinary tract in pregnancy,Инфекции мочеполовых путей при беременности,1,50576,O23
57247,თირკმლის ინფექციები ორსულობის პერიოდში,Infections of kidney in pregnancy,Инфекции почек при беременности,1,57246,O23.0
57248,შარდის ბუშტის ინფექციები ორსულობის პერიოდში,Infections of bladder in pregnancy,Инфекции мочевого пузыря при беременности,1,57246,O23.1
57249,შარდსადენის ინფექციები ორსულობის პერიოდში,Infections of urethra in pregnancy,Инфекции уретры при беременности,1,57246,O23.2
57250,საშარდე სისტემის სხვა ნაწილების ინფექციები ორსულობის პერიოდში,Infections of other parts of urinary tract in pregnancy,Инфекции других отделов мочевых путей при беременности,1,57246,O23.3
57251,საშარდე სისტემის დაუზუსტებელი ინფექცია ორსულობის პერიოდში,Unspecified infection of urinary tract in pregnancy,Инфекция мочевых путей при беременности неуточненная,1,57246,O23.4
57252,სასქესო სისტემის ინფექციები ორსულობის პერიოდში,Infections of the genital tract in pregnancy,Инфекции половых путей при беременности,1,57246,O23.5
57253,შარდ-სასქესო სისტემის სხვა და დაუზუსტებელი ინფექცია ორსულობის პერიოდში,Other and unspecified genitourinary tract infection in pregnancy,Другая и неуточненная инфекция мочеполовых путей при беременности,1,57246,O23.9
57254,შაქრიანი დიაბეტი ორსულობის პერიოდში,Diabetes mellitus in pregnancy,Сахарный диабет при беременности,1,50576,O24
57255,"ადრე არსებული შაქრიანი დიაბეტი, ინსულინდამოკიდებული","Pre-existing diabetes mellitus, insulin-dependent",Существовавший ранее сахарный диабет инсулинозависимый,1,57254,O24.0
57256,"ადრე არსებული შაქრიანი დიაბეტი, არა ინსულინდამოკიდებული","Pre-existing diabetes mellitus, non-insulin-dependent",Существовавший ранее сахарный диабет инсулиннезависимый,1,57254,O24.1
57257,"ადრე არსებული, არასრულფასოვან კვებასთან დაკავშირებული შაქრიანი დიაბეტი",Pre-existing malnutrition-related diabetes mellitus,"Существовавший ранее сахарный диабет, связанный с недостаточностью питания",1,57254,O24.2
57258,"ადრე არსებული შაქრიანი დიაბეტი, დაუზუსტებელი","Pre-existing diabetes mellitus, unspecified",Существовавший ранее сахарный диабет неуточненный,1,57254,O24.3
57259,შაქრიანი დიაბეტი განვითარებული ორსულობის პერიოდში,Diabetes mellitus arising in pregnancy,"Сахарный диабет, развившийся во время беременности",1,57254,O24.4
57260,"შაქრიანი დიაბეტი ორსულობის პერიოდში, დაუზუსტებელი","Diabetes mellitus in pregnancy, unspecified",Сахарный диабет при беременности неуточненный,1,57254,O24.9
57261,არასრულფასოვანი კვება ორსულობის პერიოდში,Malnutrition in pregnancy,Недостаточность питания при беременности,1,50576,O25
57262,"დედის სამედიცინო პატრონაჟი სხვა მდგომარეობათა დროს, რომლებიც უპირატესად დაკავშირებულია ორსულობასთან",Maternal care for other conditions predominantly related to pregnancy,"Медицинская помощь матери в связи с другими состояниями, связанными преимущественно с беременностью",1,50576,O26
57263,წონის ჭარბი მატება ორსულობის პერიოდში,Excessive weight gain in pregnancy,Чрезмерное увеличение массы тела во время беременности,1,57262,O26.0
57264,წონის მცირე მატება ორსულობის პერიოდში,Low weight gain in pregnancy,Недостаточное увеличение массы тела во время беременности,1,57262,O26.1
57265,"სამედიცინო პატრონაჟი ორსულობის შენარჩუნებისათვის იმ პირებში, რომლებსაც ახასიათებთ ჩვეული აბორტი",Pregnancy care of habitual aborter,Медицинская помощь женщине с привычным невынашиванием беременности,1,57262,O26.2
57266,დარჩენილი ჩასახვის საწინააღმდეგო საშვილოსნოსშიდა (კონტრაცეპციული) საშუალება ორსულობის პერიოდში,Retained intrauterine contraceptive device in pregnancy,Оставшееся внутриматочное противозачаточное средство при беременности,1,57262,O26.3
57267,ორსულთა ჰერპესი,Herpes gestationis,Герпес беременных,1,57262,O26.4
57268,დედის ჰიპერტენზიული სინდრომი,Maternal hypotension syndrome,Гипотензивный синдром у матери,1,57262,O26.5
57269,"ღვიძლის დაზიანებანი ორსულობის, მშობიარობის და ლოგინობის ხანის პერიოდში","Liver disorders in pregnancy, childbirth and the puerperium","Поражения печени во время беременности, родов и послеродовом периоде",1,57262,O26.6
57270,"სიმფიზის (ბოქვენის) ქვეამოვარდნილობა ორსულობის, მშობიარობის და ლოგინობის ხანის პერიოდში","Subluxation of symphysis (pubis) in pregnancy, childbirth and the puerperium","Подвывих лонного сочленения во время беременности, родов и послеродовом периоде",1,57262,O26.7
57271,"ორსულობასთან დაკავშირებული სხვა, დაზუსტებული მდგომარეობები",Other specified pregnancy-related conditions,"Другие уточненные состояния, связанные с беременностью",1,57262,O26.8
57272,"ორსულობასთან დაკავშირებული მდგომარეობა, დაუზუსტებელი","Pregnancy-related condition, unspecified","Состояние, связанные с беременностью неуточненное",1,57262,O26.9
57273,"დედის ანტენატალური გამოკვლევების შედეგად მიღებული, ნორმიდან გადახრილი მონაცემები",Abnormal findings on antenatal screening of mother,"Отклонения от нормы, выявленные при антенатальном обследовании матери",1,50576,O28
57274,"დედის ანტენატალური გამოკვლევების შედეგად მიღებული, ნორმიდან გადახრილი ჰემატოლოგიური მონაცემები",Abnormal haematological finding on antenatal screening of mother,"Гематологические отклонения, выявленные при антенатальном обследовании матери",1,57273,O28.0
57275,"დედის ანტენატალური გამოკვლევების შედეგად მიღებული, ნორმიდან გადახრილი ბიოქიმიური მონაცემები",Abnormal biochemical finding on antenatal screening of mother,"Биохимические отклонения, выявленные при антенатальном обследовании матери",1,57273,O28.1
57276,"დედის ანტენატალური გამოკვლევების შედეგად მიღებული, ნორმიდან გადახრილი ციტოლოგიური მონაცემები",Abnormal cytological finding on antenatal screening of mother,"Цитологические изменения,, выявленные при антенатальном обследовании матери",1,57273,O28.2
57277,"დედის ანტენატალური გამოკვლევების შედეგად მიღებული, ნორმიდან გადახრილი ულტრაბგერითი მონაცემები",Abnormal ultrasonic finding on antenatal screening of mother,"Патологические изменения, выявленные при ультразвуковом антенатальном обследовании матери",1,57273,O28.3
57278,"დედის ანტენატალური გამოკვლევების შედეგად მიღებული, ნორმიდან გადახრილი რენტგენოლოგიური მონაცემები",Abnormal radiological finding on antenatal screening of mother,"Патологические изменения, выявленные при рентгенологическом антенатальном обследовании матери",1,57273,O28.4
57279,დედის ანტენატალური გამოკვლევების შედეგად მიღებული ქრომოსომული და გენეტიკური ანომალიები,Abnormal chromosomal and genetic finding on antenatal screening of mother,"Хромосомные и генетические аномалии, выявленные при антенатальном обследовании матери",1,57273,O28.5
57280,"დედის ანტენატალური გამოკვლევების შედეგად მიღებული, ნორმიდან გადახრილი სხვა მონაცემები",Other abnormal findings on antenatal screening of mother,"Другие отклонения от нормы, выявленные при антенатальном обследовании матери",1,57273,O28.8
57281,"დედის ანტენატალური გამოკვლევების შედეგად მიღებული, ნორმიდან გადახრილი მონაცემი, დაუზუსტებელი","Abnormal finding on antenatal screening of mother, unspecified","Отклонение от нормы, выявленное при антенатальном обследовании матери, неуточненное",1,57273,O28.9
57282,ორსულობის მიმდინარეობის დროს ჩატარებული ანესთეზიის გართულებები,Complications of anaesthesia during pregnancy,"Осложнения, связанные с проведением анестезии в период беременности",1,50576,O29
57283,ანესთეზიის ფილტვისმიერი გართულებები ორსულობის მიმდინარეობის დროს,Pulmonary complications of anaesthesia during pregnancy,Легочные осложнения в период беременности,1,57282,O29.0
57284,ანესთეზიის კარდიოლოგიური გართულებები ორსულობის მიმდინარეობის დროს,Cardiac complications of anaesthesia during pregnancy,Кардиологические осложнения в период беременности,1,57282,O29.1
57285,ცენტრალური ნერვული სისტემის გართულებები გამოწვეული ორსულობის მიმდინარეობის დროს ჩატარებული ანესთეზიით,Central nervous system complications of anaesthesia during pregnancy,Осложнения со стороны центральной нервной системы в период беременности,1,57282,O29.2
57286,"ტოქსიური რეაქცია, განვითარებული ადგილობრივი ანესთეზიის შედეგად, ორსულობის მიმდინარეობის დროს",Toxic reaction to local anaesthesia during pregnancy,Токсическая реакция на местную анестезию в период беременности,1,57282,O29.3
57287,ზურგის ტვინის და ეპიდურული ანესთეზიით გამოწვეული თავის ტკივილი ორსულობის მიმდინარეობის დროს,Spinal and epidural anaesthesia-induced headache during pregnancy,"Головные боли, вызванные проведением спинномозговой или эпидуральной анестезии в период беременности",1,57282,O29.4
57288,ზურგის ტვინის და ეპიდურული ანესთეზიის სხვა გართულებები ორსულობის მიმდინარეობის დროს,Other complications of spinal and epidural anaesthesia during pregnancy,Другие осложнения спинномозговой или эпидуральной анестезии в период беременности,1,57282,O29.5
57289,წარუმატებელი ან გაძნელებული ინტუბაცია ორსულობის მიმდინარეობის დროს,Failed or difficult intubation during pregnancy,Неудача или трудности при интубации во время беременности,1,57282,O29.6
57290,ანესთეზიის სხვა გართულებები ორსულობის მიმდინარეობის დროს,Other complications of anaesthesia during pregnancy,Другие осложнения анестезии в период беременности,1,57282,O29.8
57291,"ანესთეზიის გართულება ორსულობის მიმდინარეობის დროს, დაუზუსტებელი","Complication of anaesthesia during pregnancy, unspecified",Осложнение анестезии в период беременности неуточненное,1,57282,O29.9
57292,მრავალნაყოფიანი ორსულობა,Multiple gestation,Многоплодная беременность,1,50577,O30
57293,ორნაყოფიანი ორსულობა,Twin pregnancy,Беременность двойней,1,57292,O30.0
57294,სამნაყოფიანი ორსულობა,Triplet pregnancy,Беременность тройней,1,57292,O30.1
57295,ოთხნაყოფიანი ორსულობა,Quadruplet pregnancy,Беременность четырьмя плодами,1,57292,O30.2
57296,მრავალნაყოფიანი ორსულობის სხვა ფორმები,Other multiple gestation,Другие формы многоплодной беременности,1,57292,O30.8
57297,"მრავალნაყოფიანი ორსულობა, დაუზუსტებელი","Multiple gestation, unspecified",Многоплодная беременность неуточненная,1,57292,O30.9
57298,მრავალნაყოფიანი ორსულობისათვის დამახასიათებელი გართულებები,Complications specific to multiple gestation,"Осложнения, характерные для многоплодной беременности",1,50577,O31
57299,"მუმიადქცეული ნაყოფი, შეჭმუხნული ნაყოფი [Fetus compressus]",Papyraceous fetus,Бумажный плод,1,57298,O31.0
1,გაურკვეველი დიაგნოზი,გაურკვეველი დიაგნოზი,,1,50693,N145
50406,კლასი 1 - ზოგიერთი ინფექციური და პარაზიტული დაავადებები,Class 1 - Certain infectious and parasitic diseases,Класс I - Некоторые инфекционные и паразитарные болезни,1,50406,CLASS01
50407,ნაწლავური ინფექციები,Intestinal infectious diseases,Кишечные инфекции,1,50406,A00-A09
50408,ტუბერკულოზი,Tuberculosis,Туберкулез,1,50406,A15-A19
50409,ზოგიერთი ზოონოზური ბაქტერიული ავადმყოფობა ,Certain zoonotic bacterial diseases,Некоторые бактериальные зоонозы,1,50406,A20-A28
50410,სხვა ბაქტერიული ავადმყოფობები ,Other bacterial diseases,Другие бактериальные болезни,1,50406,A30-A49
50411, უპირატესად სქესობრივი გზით გადამდები ინფექციები ,Infections with a predominantly sexual mode of transmission,"Инфекции, передающиеся преимущественно половым путем",1,50406,A50-A64
50412,სხვა სპიროქეტული ავადმყოფობები,Other spirochaetal diseases,"Другие болезни, вызываемые спирохетами",1,50406,A65-A69
50413,ქლამიდიებით გამოწვეული სხვა ავადმყოფობები,Other diseases caused by chlamydiae,"Другие болезни, вызываемые хламидиями",1,50406,A70-A74
50414,რიკეტსიოზები,Rickettsioses,Риккетсиозы,1,50406,A75-A79
50415,ცენტრალური ნერვული სისტემის ვირუსული ინფექციები,Viral infections of the central nervous system,Вирусные инфекции центральной нервной системы,1,50406,A80-A89
50416,ფეხსახსრიანებისმიერი ვირუსული ცხელებები და ვირუსული ჰემორაგიული ცხელებები,Arthropod-borne viral fevers and viral haemorrhagic fevers,"Вирусные лихорадки, передаваемые членистоногими, и вирусные геморрагические лихорадки",1,50406,A90-A99
50417,"ვირუსული ინფექციები, რომლებსაც ახასიათებს კანისა და ლორწოვანი გარსების დაზიანება ",Viral infections characterized by skin and mucous membrane lesions,"Вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек",1,50406,B00-B09
50418,ვირუსული ჰეპატიტი,Viral hepatitis,Вирусный гепатит,1,50406,B15-B19
50419,ადამიანის იმუნოდეფიციტის ვირუსით [აივ] გამოწვეული ავადმყოფობა,Human immunodeficiency virus [HIV] disease,"Болезнь, вызванная вирусом иммунодефицита человека [вич]",1,50406,B20-B24
50420,სხვა ვირუსული ავადმყოფობები,Other viral diseases,Другие вирусные болезни,1,50406,B25-B34
50421,მიკოზები,Mycoses,Микозы,1,50406,B35-B49
50422,პროტოზოული ავადმყოფობები,Protozoal diseases,Протозойные болезни,1,50406,B50-B64
50423,ჰელმინთოზები,Helminthiases,Гельминтозы,1,50406,B65-B83
50424,"პედიკულოზი, აკარიაზი და სხვა ინფესტაციები","Pediculosis, acariasis and other infestations","Педикулез, акариаз и другие инфестации",1,50406,B85-B89
50425,ინფექციური და პარაზიტული ავადმყოფობების შედეგები,Sequelae of infectious and parasitic diseases,Последствия инфекционных и паразитарных болезней,1,50406,B90-B94
50426,"ბაქტერიული, ვირუსული და სხვა ინფექციური აგენტები","Bacterial, viral and other infectious agents","Бактериальные, вирусные и другие инфекционные агенты",1,50406,B95-B99
50427,კლასი 2 - სიმსივნეები,Class 2 - Neoplasms,Класс II - Новообразования,1,50427,CLASS02
50428,"ტუჩის, პირის ღრუსა და ხახის ავთვისებიანი სიმსივნეები","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue: Lip, oral cavity and pharynx","Злокачественные новообразования губы, полости рта и глотки",1,50427,C00-C14
50429,საჭმლის მომნელებელი ორგანოების ავთვისებიანი სიმსივნეები ,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue: Digestive organs",Злокачественные новообразования органов пищеварения,1,50427,C15-C26
50430,სასუნთქი სისტემის და გულმკერდის ღრუს ორგანოების ავთვისებიანი სიმსივნეები,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue: Respiratory and intrathoracic organs",Злокачественные новообразования органов дыхания и грудной клетки,1,50427,C30-C39
50431,ძვლისა და სასახსრე ხრტილის ავთვისებიანი სიმსივნეები,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue: Bone and articular cartilage",Злокачественные новообразования костей и суставных хрящей,1,50427,C40-C41
